rdevs_combos,sigma_rdevs,f_sigma_rdevs,sigmaM,converged?,fn
0.8_0.8,0.8,0.8,0.001,1,rdevs_0.8_0.8_sigmaM_0.001
0.8_2,0.8,2,0.001,1,rdevs_0.8_2_sigmaM_0.001
0.8_5,0.8,5,0.001,1,rdevs_0.8_5_sigmaM_0.001
1_1,1,1,0.001,1,rdevs_1_1_sigmaM_0.001
1_2,1,2,0.001,1,rdevs_1_2_sigmaM_0.001
1_5,1,5,0.001,1,rdevs_1_5_sigmaM_0.001
1.6_1.6,1.6,1.6,0.001,1,rdevs_1.6_1.6_sigmaM_0.001
1.6_2,1.6,2,0.001,1,rdevs_1.6_2_sigmaM_0.001
1.6_5,1.6,5,0.001,1,rdevs_1.6_5_sigmaM_0.001
0.8_0.8,0.8,0.8,0.01,1,rdevs_0.8_0.8_sigmaM_0.01
0.8_2,0.8,2,0.01,1,rdevs_0.8_2_sigmaM_0.01
0.8_5,0.8,5,0.01,1,rdevs_0.8_5_sigmaM_0.01
1_1,1,1,0.01,1,rdevs_1_1_sigmaM_0.01
1_2,1,2,0.01,1,rdevs_1_2_sigmaM_0.01
1_5,1,5,0.01,1,rdevs_1_5_sigmaM_0.01
1.6_1.6,1.6,1.6,0.01,1,rdevs_1.6_1.6_sigmaM_0.01
1.6_2,1.6,2,0.01,1,rdevs_1.6_2_sigmaM_0.01
1.6_5,1.6,5,0.01,1,rdevs_1.6_5_sigmaM_0.01
0.8_0.8,0.8,0.8,0.02,1,rdevs_0.8_0.8_sigmaM_0.02
0.8_2,0.8,2,0.02,1,rdevs_0.8_2_sigmaM_0.02
0.8_5,0.8,5,0.02,1,rdevs_0.8_5_sigmaM_0.02
1_1,1,1,0.02,1,rdevs_1_1_sigmaM_0.02
1_2,1,2,0.02,1,rdevs_1_2_sigmaM_0.02
1_5,1,5,0.02,1,rdevs_1_5_sigmaM_0.02
1.6_1.6,1.6,1.6,0.02,1,rdevs_1.6_1.6_sigmaM_0.02
1.6_2,1.6,2,0.02,1,rdevs_1.6_2_sigmaM_0.02
1.6_5,1.6,5,0.02,1,rdevs_1.6_5_sigmaM_0.02
0.8_0.8,0.8,0.8,0.03,1,rdevs_0.8_0.8_sigmaM_0.03
0.8_2,0.8,2,0.03,1,rdevs_0.8_2_sigmaM_0.03
0.8_5,0.8,5,0.03,1,rdevs_0.8_5_sigmaM_0.03
1_1,1,1,0.03,1,rdevs_1_1_sigmaM_0.03
1_2,1,2,0.03,1,rdevs_1_2_sigmaM_0.03
1_5,1,5,0.03,1,rdevs_1_5_sigmaM_0.03
1.6_1.6,1.6,1.6,0.03,0,rdevs_1.6_1.6_sigmaM_0.03
1.6_2,1.6,2,0.03,1,rdevs_1.6_2_sigmaM_0.03
1.6_5,1.6,5,0.03,1,rdevs_1.6_5_sigmaM_0.03
0.8_0.8,0.8,0.8,0.04,0,rdevs_0.8_0.8_sigmaM_0.04
0.8_2,0.8,2,0.04,0,rdevs_0.8_2_sigmaM_0.04
0.8_5,0.8,5,0.04,0,rdevs_0.8_5_sigmaM_0.04
1_1,1,1,0.04,0,rdevs_1_1_sigmaM_0.04
1_2,1,2,0.04,0,rdevs_1_2_sigmaM_0.04
1_5,1,5,0.04,0,rdevs_1_5_sigmaM_0.04
1.6_1.6,1.6,1.6,0.04,0,rdevs_1.6_1.6_sigmaM_0.04
1.6_2,1.6,2,0.04,0,rdevs_1.6_2_sigmaM_0.04
1.6_5,1.6,5,0.04,0,rdevs_1.6_5_sigmaM_0.04
0.8_0.8,0.8,0.8,0.05,1,rdevs_0.8_0.8_sigmaM_0.05
0.8_2,0.8,2,0.05,1,rdevs_0.8_2_sigmaM_0.05
0.8_5,0.8,5,0.05,1,rdevs_0.8_5_sigmaM_0.05
1_1,1,1,0.05,1,rdevs_1_1_sigmaM_0.05
1_2,1,2,0.05,1,rdevs_1_2_sigmaM_0.05
1_5,1,5,0.05,1,rdevs_1_5_sigmaM_0.05
1.6_1.6,1.6,1.6,0.05,1,rdevs_1.6_1.6_sigmaM_0.05
1.6_2,1.6,2,0.05,1,rdevs_1.6_2_sigmaM_0.05
1.6_5,1.6,5,0.05,1,rdevs_1.6_5_sigmaM_0.05
0.8_0.8,0.8,0.8,0.06,0,rdevs_0.8_0.8_sigmaM_0.06
0.8_2,0.8,2,0.06,0,rdevs_0.8_2_sigmaM_0.06
0.8_5,0.8,5,0.06,1,rdevs_0.8_5_sigmaM_0.06
1_1,1,1,0.06,0,rdevs_1_1_sigmaM_0.06
1_2,1,2,0.06,0,rdevs_1_2_sigmaM_0.06
1_5,1,5,0.06,1,rdevs_1_5_sigmaM_0.06
1.6_1.6,1.6,1.6,0.06,1,rdevs_1.6_1.6_sigmaM_0.06
1.6_2,1.6,2,0.06,0,rdevs_1.6_2_sigmaM_0.06
1.6_5,1.6,5,0.06,1,rdevs_1.6_5_sigmaM_0.06
0.8_0.8,0.8,0.8,0.07,1,rdevs_0.8_0.8_sigmaM_0.07
0.8_2,0.8,2,0.07,1,rdevs_0.8_2_sigmaM_0.07
0.8_5,0.8,5,0.07,0,rdevs_0.8_5_sigmaM_0.07
1_1,1,1,0.07,1,rdevs_1_1_sigmaM_0.07
1_2,1,2,0.07,1,rdevs_1_2_sigmaM_0.07
1_5,1,5,0.07,0,rdevs_1_5_sigmaM_0.07
1.6_1.6,1.6,1.6,0.07,0,rdevs_1.6_1.6_sigmaM_0.07
1.6_2,1.6,2,0.07,1,rdevs_1.6_2_sigmaM_0.07
1.6_5,1.6,5,0.07,0,rdevs_1.6_5_sigmaM_0.07
0.8_0.8,0.8,0.8,0.08,1,rdevs_0.8_0.8_sigmaM_0.08
0.8_2,0.8,2,0.08,0,rdevs_0.8_2_sigmaM_0.08
0.8_5,0.8,5,0.08,1,rdevs_0.8_5_sigmaM_0.08
1_1,1,1,0.08,1,rdevs_1_1_sigmaM_0.08
1_2,1,2,0.08,0,rdevs_1_2_sigmaM_0.08
1_5,1,5,0.08,1,rdevs_1_5_sigmaM_0.08
1.6_1.6,1.6,1.6,0.08,1,rdevs_1.6_1.6_sigmaM_0.08
1.6_2,1.6,2,0.08,0,rdevs_1.6_2_sigmaM_0.08
1.6_5,1.6,5,0.08,1,rdevs_1.6_5_sigmaM_0.08
0.8_0.8,0.8,0.8,0.09,1,rdevs_0.8_0.8_sigmaM_0.09
0.8_2,0.8,2,0.09,0,rdevs_0.8_2_sigmaM_0.09
0.8_5,0.8,5,0.09,0,rdevs_0.8_5_sigmaM_0.09
1_1,1,1,0.09,0,rdevs_1_1_sigmaM_0.09
1_2,1,2,0.09,0,rdevs_1_2_sigmaM_0.09
1_5,1,5,0.09,0,rdevs_1_5_sigmaM_0.09
1.6_1.6,1.6,1.6,0.09,1,rdevs_1.6_1.6_sigmaM_0.09
1.6_2,1.6,2,0.09,0,rdevs_1.6_2_sigmaM_0.09
1.6_5,1.6,5,0.09,0,rdevs_1.6_5_sigmaM_0.09
0.8_0.8,0.8,0.8,0.1,0,rdevs_0.8_0.8_sigmaM_0.1
0.8_2,0.8,2,0.1,0,rdevs_0.8_2_sigmaM_0.1
0.8_5,0.8,5,0.1,0,rdevs_0.8_5_sigmaM_0.1
1_1,1,1,0.1,0,rdevs_1_1_sigmaM_0.1
1_2,1,2,0.1,0,rdevs_1_2_sigmaM_0.1
1_5,1,5,0.1,0,rdevs_1_5_sigmaM_0.1
1.6_1.6,1.6,1.6,0.1,0,rdevs_1.6_1.6_sigmaM_0.1
1.6_2,1.6,2,0.1,0,rdevs_1.6_2_sigmaM_0.1
1.6_5,1.6,5,0.1,0,rdevs_1.6_5_sigmaM_0.1
0.8_0.8,0.8,0.8,0.2,1,rdevs_0.8_0.8_sigmaM_0.2
0.8_2,0.8,2,0.2,1,rdevs_0.8_2_sigmaM_0.2
0.8_5,0.8,5,0.2,0,rdevs_0.8_5_sigmaM_0.2
1_1,1,1,0.2,0,rdevs_1_1_sigmaM_0.2
1_2,1,2,0.2,1,rdevs_1_2_sigmaM_0.2
1_5,1,5,0.2,0,rdevs_1_5_sigmaM_0.2
1.6_1.6,1.6,1.6,0.2,0,rdevs_1.6_1.6_sigmaM_0.2
1.6_2,1.6,2,0.2,1,rdevs_1.6_2_sigmaM_0.2
1.6_5,1.6,5,0.2,0,rdevs_1.6_5_sigmaM_0.2
0.8_0.8,0.8,0.8,0.3,0,rdevs_0.8_0.8_sigmaM_0.3
0.8_2,0.8,2,0.3,0,rdevs_0.8_2_sigmaM_0.3
0.8_5,0.8,5,0.3,0,rdevs_0.8_5_sigmaM_0.3
1_1,1,1,0.3,1,rdevs_1_1_sigmaM_0.3
1_2,1,2,0.3,0,rdevs_1_2_sigmaM_0.3
1_5,1,5,0.3,0,rdevs_1_5_sigmaM_0.3
1.6_1.6,1.6,1.6,0.3,1,rdevs_1.6_1.6_sigmaM_0.3
1.6_2,1.6,2,0.3,0,rdevs_1.6_2_sigmaM_0.3
1.6_5,1.6,5,0.3,0,rdevs_1.6_5_sigmaM_0.3
0.8_0.8,0.8,0.8,0.4,1,rdevs_0.8_0.8_sigmaM_0.4
0.8_2,0.8,2,0.4,0,rdevs_0.8_2_sigmaM_0.4
0.8_5,0.8,5,0.4,1,rdevs_0.8_5_sigmaM_0.4
1_1,1,1,0.4,1,rdevs_1_1_sigmaM_0.4
1_2,1,2,0.4,0,rdevs_1_2_sigmaM_0.4
1_5,1,5,0.4,1,rdevs_1_5_sigmaM_0.4
1.6_1.6,1.6,1.6,0.4,1,rdevs_1.6_1.6_sigmaM_0.4
1.6_2,1.6,2,0.4,0,rdevs_1.6_2_sigmaM_0.4
1.6_5,1.6,5,0.4,1,rdevs_1.6_5_sigmaM_0.4
0.8_0.8,0.8,0.8,0.5,0,rdevs_0.8_0.8_sigmaM_0.5
0.8_2,0.8,2,0.5,1,rdevs_0.8_2_sigmaM_0.5
0.8_5,0.8,5,0.5,1,rdevs_0.8_5_sigmaM_0.5
1_1,1,1,0.5,0,rdevs_1_1_sigmaM_0.5
1_2,1,2,0.5,1,rdevs_1_2_sigmaM_0.5
1_5,1,5,0.5,1,rdevs_1_5_sigmaM_0.5
1.6_1.6,1.6,1.6,0.5,1,rdevs_1.6_1.6_sigmaM_0.5
1.6_2,1.6,2,0.5,1,rdevs_1.6_2_sigmaM_0.5
1.6_5,1.6,5,0.5,1,rdevs_1.6_5_sigmaM_0.5
