"","year","tot_mat_B_tons","spawn_dep","tcb","tot_obs_egg","tot_est_egg","res_tot_egg","SR","res_SR","init_age_3","tot_sp_B_tons","N","tot_post_N","tot_sp_N","tot_mat_N","egg_upper","egg_lower"
"1",1980,45403.1173526753,35000,4385,3.15,3.22759,-0.0243341,125.742,1.48697,191.008,41018.1000462973,720.981,674.491,441.607,488.097,1.21,1.21
"2",1981,46535.8583743028,30000,3506,3,3.4904,-0.151403,130.785,0.580507,69.1888,43029.9389316343,455.521,427.737,349.684,377.467,1.14,1.14
"3",1982,33029.167309685,29500,4363,2.972,2.33583,0.240869,92.6187,-0.205548,69.4771,28666.0861130095,314.474,281.684,221.481,254.272,1.13,1.13
"4",1983,39165.9869044732,23500,5450,2.63,2.74296,-0.0420537,106.619,0.801079,556.239,33715.9108445953,717.581,678.043,265.223,304.761,0.97,0.97
"5",1984,46517.4496792257,38500,5830,3.25,3.67895,-0.123972,124.904,2.28212,233.706,40687.5151568597,622.072,575.812,342.116,388.375,1.25,1.25
"6",1985,40878.8774002954,31000,7475,3.025,3.04247,-0.00575739,105.772,0.315906,75.4102,33403.9551136489,405.221,348.607,263.221,319.835,1.15,1.15
"7",1986,32633.1047862607,25000,5443,2.58,2.47698,0.0407477,88.4033,-1.90316,237.541,27190.0835556339,437.214,396.832,213.877,254.259,0.95,0.95
"8",1987,49328.5786723693,46000,4216,4.201,3.93847,0.06453,135.906,-2.32818,1223.75,45112.6568046033,1451.04,1408.63,491.624,534.034,1.7,1.7
"9",1988,64594.2370863555,58500,9575,5.871,4.7992,0.201576,158.909,1.86311,145.067,55019.2905487334,951.897,850.575,602.9,704.222,2.54,2.54
"10",1989,45721.7972177517,27000,12135,2.7,2.95983,-0.0918802,106.269,-1.52246,13.1806,33586.8295156419,500.369,378.568,343.974,465.774,1,1
"11",1990,27108.8427875394,23000,3804,2.273,2.11802,0.0706176,77.0339,-7.95243,13.2472,23304.7465773055,230.082,199.711,187.319,217.689,0.82,0.82
"12",1991,32590.7758107542,23500,1908,2.34716,2.63203,-0.11455,98.2874,-0.0302021,1023.97,30682.7751934566,1138.36,1117.56,371.645,392.444,1.259686251,0.985282715
"13",1992,51693.5999470888,43351,5368,4.33512,4.08225,0.0601012,138.842,1.25777,23.1851,46325.6465089618,663.297,609.888,474.583,527.993,1.851147636,1.639191663
"14",1993,36278.7980334664,37150,10186,3.71503,2.32794,0.467405,85.2324,1.02502,0.027101,26092.726911969,349.356,254.527,244.445,339.274,1.751126689,1.382705136
"15",1994,22697.3698714698,14941,4886.91,1.49413,1.6282,-0.0859276,60.265,1.88891,95.3633,17810.4676029013,241.15,205.327,135.557,171.38,0.560987576,0.48874792
"16",1995,31432.9019599198,34990,2977.9,3.49896,2.59847,0.297541,92.0191,1.25662,488.387,28454.9923940122,605.993,584.579,218.822,240.236,1.508697833,1.398489625
"17",1996,39723.0979518949,40827,8249.15,3.59277,2.83381,0.2373,100.483,-0.174471,237.556,31473.9081549417,572.389,503.619,274.264,343.034,1.633749193,1.265029243
"18",1997,47750.8322493882,28611,11254.5,2.8877,3.31764,-0.138795,114.054,0.512389,398.483,36496.2851914725,686.944,612.218,292.768,367.494,1.695401525,1.286735024
"19",1998,50445.0054013536,34942,6786.56,3.58394,3.9,-0.0845153,132.341,0.644167,323.311,43658.4801252232,673.974,623.029,341.694,392.639,1.255367509,1.146877561
"20",1999,59423.5984038449,44554,9421.46,4.49573,4.49682,-0.000242888,147.535,0.0816545,84.3956,50002.204634141,555.549,487.19,373.529,441.888,2.387620843,1.827147032
"21",2000,58371.9879186049,57988,4619.37,5.85134,4.88286,0.18094,156.09,1.45521,190.387,53752.6180030424,558.814,527.881,372.725,403.659,2.795968238,2.534746454
"22",2001,65498.9087061002,58756,12060,6.02643,4.87149,0.212753,155.386,-0.516959,252.031,53438.8985647832,651.23,573.968,360.421,437.683,2.215761696,1.882753246
"23",2002,67106.3074582773,40366,9935.5,4.07318,4.58532,-0.118436,163.619,-0.00569697,160.087,57170.7930069005,594.138,532.088,375.692,437.742,1.462234716,1.475607608
"24",2003,79046.4957340329,55769,6956.11,5.62743,5.72461,-0.0171224,193.628,0.16787,668.903,72090.3238607553,1071.28,1024.99,511.537,557.826,2.289501604,1.863883108
"25",2004,99305.4300138892,69907,10616.6,7.16901,7.04963,0.0167915,221.967,0.411846,92.6616,88688.9040763685,867.792,795.946,624.729,696.575,2.650921062,2.277982827
"26",2005,96452.8538988955,101305,11520.3,8.13885,6.82313,0.176331,215.99,0.720568,162.689,84932.5381952865,764.607,691.59,550.726,623.743,6.384923885,3.540565615
"27",2006,88091.6686875813,66111,10069.4,5.30074,6.28096,-0.169677,204.337,0.448303,229.02,78022.2227121409,752.021,690.163,497.356,559.213,2.279693146,1.707320794
"28",2007,92779.8231883419,84501,11762.3,6.85769,6.53656,0.0479598,209.495,0.319956,335.082,81017.5488877621,857.004,787.313,506.912,576.602,2.872760889,2.568958439
"29",2008,105051.808902313,247088,14560.4,20.1484,7.28546,1.01724,224.748,-0.885226,443.99,90491.3027183139,1039.38,952.691,576.376,663.064,29.05686308,14.54490887
"30",2009,118908.04470998,110946,14874.5,9.00542,8.39651,0.0700109,243.916,-1.55204,319.921,104033.819087722,1040.37,952.668,648.95,736.656,3.863145759,3.237073047
"31",2010,115661.72093741,126230,17963.5,9.99957,7.84662,0.24246,235.32,-0.0589827,288.489,97698.0312617121,1008.92,898.615,634.847,745.157,4.816134565,3.7630828
"32",2011,108016.27019996,161904,19539.2,13.0665,7.15606,0.602093,221.637,-1.78847,92.7357,88477.0387354219,772.294,656.959,541.928,657.263,4.222205391,3.942674884
"33",2012,77517.3614938601,62518,13308.5,4.97979,5.16763,-0.0370248,178.34,1.468,51.6651,64208.867038515,548.477,465.332,410.181,493.326,1.634805164,1.578639917
"34",2013,74200.9303556075,103267,5785.72,8.43356,5.60271,0.408968,186.653,-1.59157,221.841,68415.1987477678,573.739,543.71,373.363,403.392,4.043867944,2.996229014
"35",2014,70003.9683414537,48561,17077.4,3.96046,4.32227,-0.0874219,154.232,0.588731,37.0612,52926.5415904231,448.23,358.288,296.769,386.712,1.288746439,1.089460882
"36",2015,66112.8993143588,58183,8855.83,4.59376,4.47049,0.027201,163.805,0.761402,774.096,57257.1044335193,1014.87,954.335,456.565,517.099,1.332721825,1.154768444
"37",2016,75740.757071364,77973,10055.5,5.97941,5.06182,0.166596,0,0,38.0036,65685.3105227188,679.325,598.269,567.787,648.843,2.445122264,1.979792303
"38",2017,62543.9273352587,46919,14062.9,3.61753,3.77472,-0.0425358,0,0,277.88,48481.0070768756,679.922,572.455,393.553,501.02,1.69865191,1.357551379
"39",2018,59257.038294495,55009,3009.09,4.26234,4.33828,-0.0176614,0,0,350.753,56247.9331554929,735.447,711.308,483.751,507.89,2.465384156,1.756298126
